,gSq_only,errorgSq_only,gSg1_only,errorgSg1_only,gSg2_only_y0y0,errorgSg2_only_y0y0,gSg_only,errorgSg_only
0,0.170535,0.00028700000000000004,210.265,0.269,0.00081182,9.375000000000001e-07,210.35500000000002,0.255
1,3.6982e-05,6.53e-08,6.9670000000000005,0.0112,0.00016269,2.745e-07,6.9663,0.011349999999999999
